,Row 1
0,1.14037
1,1.1395
2,1.14022
3,1.13964
4,1.1402
5,1.13925
6,1.13994
7,1.13974
8,1.14026
9,1.13971
10,1.13997
11,1.13976
12,1.1401
13,1.1398
14,1.14046
15,1.13977
16,1.13993
17,1.14057
18,1.14023
19,1.14001
20,1.14014
21,1.13973
22,1.13968
23,1.14
24,1.13986
25,1.1397
26,1.13991
27,1.13993
28,1.13974
29,1.14014
30,1.14003
31,1.14006
32,1.14043
33,1.13964
34,1.13937
35,1.14013
36,1.13963
37,1.13998
38,1.13987
39,1.14019
40,1.14004
41,1.13988
42,1.13941
43,1.13994
44,1.13917
45,1.14029
46,1.14
47,1.14003
48,1.13984
49,1.14007
50,1.14001
51,1.14007
52,1.13964
53,1.13948
54,1.13988
55,1.1399
56,1.14006
57,1.13986
58,1.13987
59,1.13927
60,1.14042
61,1.13983
62,1.13987
63,1.13984
64,1.13925
65,1.13945
66,1.13951
67,1.13845
68,1.13849
69,1.13754
70,1.13691
71,1.13655
72,1.13618
73,1.13556
74,1.13531
75,1.13481
76,1.13437
77,1.13388
78,1.13148
79,1.12921
80,1.12665
81,1.12161
82,1.1157
83,1.1113
84,1.10755
85,1.10547
86,1.10512
87,1.1056
88,1.1058
89,1.10662
90,1.10701
91,1.10701
92,1.10537
93,1.10258
94,1.09792
95,1.09339
96,1.08845
97,1.08442
98,1.08034
99,1.07959
100,1.07959
101,1.08141
102,1.08364
103,1.08636
104,1.08831
105,1.09081
106,1.09291
107,1.09359
108,1.0921
109,1.08998
110,1.08682
111,1.08248
112,1.07983
113,1.07649
114,1.07403
115,1.07324
116,1.07583
117,1.0768
118,1.08042
119,1.0832
120,1.08598
121,1.08797
122,1.09123
123,1.09173
124,1.09101
125,1.08876
126,1.086
127,1.08156
128,1.07893
129,1.07575
130,1.07314
131,1.07265
132,1.07452
133,1.07621
134,1.07924
135,1.08258
136,1.0854
137,1.08778
138,1.09031
139,1.09183
140,1.09048
141,1.08915
142,1.08624
143,1.08199
144,1.07936
145,1.07659
146,1.07304
147,1.07302
148,1.074
149,1.07634
150,1.07867
151,1.08229
152,1.08432
153,1.08752
154,1.08948
155,1.09163
156,1.09063
157,1.08916
158,1.08631
159,1.08294
160,1.07926
161,1.07664
162,1.07406
163,1.07203
164,1.07378
165,1.07545
166,1.078
167,1.08121
168,1.08481
169,1.08666
170,1.08945
171,1.09114
172,1.09104
173,1.08913
174,1.08726
175,1.08299
176,1.08021
177,1.07702
178,1.07442
179,1.07223
180,1.07355
181,1.07551
182,1.07712
183,1.08103
184,1.08413
185,1.08647
186,1.08874
187,1.0913
188,1.09086
189,1.08955
190,1.08722
191,1.08384
192,1.08015
193,1.07762
194,1.07412
195,1.07295
196,1.07255
197,1.07498
198,1.07683
199,1.08057
200,1.08348
201,1.08593
202,1.08789
203,1.09087
204,1.09104
205,1.09005
206,1.08732
207,1.08453
208,1.08063
209,1.07787
210,1.07485
211,1.07248
212,1.07248
213,1.07433
214,1.0767
215,1.0798
216,1.08314
217,1.08551
218,1.0884
219,1.09041
220,1.09126
221,1.08985
222,1.08804
223,1.08514
224,1.08113
225,1.07801
226,1.07587
227,1.07212
228,1.07239
229,1.07443
230,1.07605
231,1.079
232,1.08236
233,1.08506
234,1.08731
235,1.09037
236,1.09051
237,1.09045
238,1.08845
239,1.0858
240,1.08139
241,1.07897
242,1.07528
243,1.07337
244,1.07226
245,1.07437
246,1.0758
247,1.07912
248,1.08149
249,1.08502
250,1.08665
251,1.08994
252,1.09093
253,1.09078
254,1.08859
255,1.08603
256,1.08202
257,1.0793
258,1.07623
259,1.07358
260,1.07203
261,1.07388
262,1.07531
263,1.07774
264,1.0815
265,1.08463
266,1.08666
267,1.08959
268,1.09087
269,1.09113
270,1.0883
271,1.08643
272,1.08285
273,1.07939
274,1.07595
275,1.07391
276,1.0719
277,1.07355
278,1.07481
279,1.07766
280,1.08071
281,1.08449
282,1.08627
283,1.0891
284,1.09098
285,1.09108
286,1.08912
287,1.08735
288,1.08325
289,1.08002
290,1.07705
291,1.07416
292,1.07212
293,1.07324
294,1.07462
295,1.07718
296,1.08067
297,1.08353
298,1.08604
299,1.08874
300,1.09091
301,1.09048
302,1.0894
303,1.08728
304,1.08394
305,1.08039
306,1.07744
307,1.07424
308,1.07216
309,1.07248
310,1.07482
311,1.07653
312,1.08028
313,1.08271
314,1.08586
315,1.08791
316,1.09051
317,1.09035
318,1.09001
319,1.08744
320,1.08446
321,1.08051
322,1.07827
323,1.07469
324,1.07285
325,1.07225
326,1.07436
327,1.07603
328,1.0797
329,1.08255
330,1.08572
331,1.08759
332,1.0903
333,1.0912
334,1.0903
335,1.08794
336,1.08502
337,1.08091
338,1.07834
339,1.07552
340,1.07292
341,1.07205
342,1.07419
343,1.07561
344,1.0789
345,1.08221
346,1.08478
347,1.08728
348,1.08976
349,1.0912
350,1.09052
351,1.08845
352,1.08538
353,1.08219
354,1.07847
355,1.07629
356,1.07318
357,1.0723
358,1.07374
359,1.076
360,1.07805
361,1.0819
362,1.08436
363,1.08693
364,1.08925
365,1.09122
366,1.09018
367,1.08906
368,1.08593
369,1.08233
370,1.07922
371,1.07629
372,1.07355
373,1.07206
374,1.07371
375,1.07501
376,1.07797
377,1.08095
378,1.08433
379,1.08657
380,1.08897
381,1.09058
382,1.09096
383,1.08876
384,1.08663
385,1.08289
386,1.07939
387,1.07692
388,1.07378
389,1.07216
390,1.07265
391,1.07529
392,1.07709
393,1.08071
394,1.08358
395,1.08652
396,1.08843
397,1.09087
398,1.09068
399,1.08952
400,1.0867
401,1.08367
402,1.07999
403,1.07705
404,1.07437
405,1.0725
406,1.07275
407,1.07468
408,1.07709
409,1.07942
410,1.08343
411,1.08572
412,1.08845
413,1.09011
414,1.09088
